url,price,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Banyo Sayısı,İlan Oluşturma Tarihi,Türü,Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Site İçerisinde,Fiyat Durumu,Balkon Durumu,Banyo Metrekare,Yapı Durumu,Balkon Sayısı,Zemin Etüdü,Yatırıma Uygunluk,Tapu Durumu,Takas,WC Sayısı,Görüntülü Gezilebilir mi?,Yapı Tipi,Aidat,Balkon Tipi,Kira Getirisi,Balkon Metrekare,Eşya Durumu,İpotek Durumu,Salon Metrekare,WC Metrekare,Pafta,Ada,Parsel
https://www.emlakjet.com//ilan/10-yillik-dogalgazli-zemin-daire-14435185/,1.200.000 TL,14435185,22 Aralık 2023,Satılık,100 M2,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,22 Aralık 2023,Konut,Daire,117 M2,5-10,4,Boş,Hayır,Genel Fiyat,Var,10 M2,İkinci El,2,Var,Yatırıma Uygun,Kat İrtifakı,Yok,2,Evet,Betonarme,1 TL,Açık Balkon,7000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/doganay-gayrimenkul-sifir-net-170-m2-51-dubleks-14431060/,3.300.000 TL,14431060,21 Aralık 2023,Satılık,170 M2,5+1,3.Kat,Merkezi Kömür,Krediye Uygun,2,21 Aralık 2023,Konut,Daire,200 M2,0 (Yeni),3,Boş,Hayır,Genel Fiyat,Var,5 M2,İkinci El,2,Var,Yatırıma Uygun,Kat İrtifakı,Yok,2,Evet,Betonarme,1 TL,Açık Balkon,7000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/danis-gayrimenkulden-golette-firsat-11-daire-14428038/,1.320.000 TL,14428038,20 Aralık 2023,Satılık,55 M2,1+1,2.Kat,Yerden Isıtma,Krediye Uygun,1,20 Aralık 2023,Konut,Daire,60 M2,0 (Yeni),4,Boş,Hayır,Birim Fiyat,Var,10 M2,Sıfır,1,Var,Yatırıma Uygun,Kat Mülkiyeti,Var,1,Evet,Betonarme,1 TL,Açık Balkon,7000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/akhisar-resatbey-mahallesinde-21-sifir-asansorlu-otoparklidaire-14426047/,1.850.000 TL,14426047,21 Aralık 2023,Satılık,90 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,20 Aralık 2023,Konut,Daire,100 M2,0 (Yeni),4,Boş,Hayır,Genel Fiyat,Var,10 M2,Sıfır,2,Var,Yatırıma Uygun,Kat İrtifakı,Var,1,Evet,Betonarme,1 TL,Açık Balkon,7000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/manisa-yunusemre-muradiye-mh-satilik-daire-11-14416218/,1.575.000 TL,14416218,23 Aralık 2023,Satılık,60 M2,1+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,18 Aralık 2023,Konut,Daire,70 M2,1,5,Kiracı Oturuyor,Hayır,Genel Fiyat,Var,10 M2,İkinci El,1,Var,Yatırıma Uygun,Kat İrtifakı,Yok,2,Evet,Betonarme,150 TL,Açık Balkon,4000 TL,6 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/evim-emlaktan-salihli-cumhuriyet-mahallesi-ozancan-sitesinde-31jeorermalli-daire-14413463/,2.350.000 TL,14413463,23 Aralık 2023,Satılık,140 M2,3+1,6.Kat,Jeotermal,Krediye Uygun,1,18 Aralık 2023,Konut,Daire,155 M2,16-20,8,Kiracı Oturuyor,Evet,Genel Fiyat,Var,10 M2,İkinci El,3,Var,Yatırıma Uygun,Müstakil Tapulu,Yok,2,Evet,Betonarme,1 TL,Açık Balkon,10000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/manisa-lalapasa-da-satilik-31-genis-balkonlu-zemin-daire-14403624/,2.050.000 TL,14403624,16 Aralık 2023,Satılık,145 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,16 Aralık 2023,Konut,Daire,160 M2,11-15,5,Boş,Hayır,Genel Fiyat,Var,10 M2,İkinci El,2,Var,Bilinmiyor,Kat İrtifakı,Var,2,Evet,Betonarme,1 TL,Açık Balkon,7000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/akhisar-resatbey-mahallesi-ring-yolu-uzeri-31-arakat-son-daire-14390107/,2.550.000 TL,14390107,13 Aralık 2023,Satılık,125 M2,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,13 Aralık 2023,Konut,Daire,130 M2,0 (Yeni),4,Boş,Hayır,Genel Fiyat,Var,10 M2,Sıfır,2,Var,Yatırıma Uygun,Kat İrtifakı,Yok,2,Evet,Betonarme,1 TL,Açık Balkon,7000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/global-gayrimenkulden-satilik-135-mt-dublex-14384871/,1.825.000 TL,14384871,23 Aralık 2023,Satılık,135 M2,3+1,4.Kat,Isıtma Yok,Krediye Uygun,Yok,12 Aralık 2023,Konut,Daire,145 M2,5-10,4,Boş,Hayır,Genel Fiyat,Var,10 M2,İkinci El,2,Var,Bilinmiyor,Kat İrtifakı,Yok,2,Evet,Betonarme,1 TL,Açık Balkon,7000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/turgutlu-yedieylul-mh-bahceli-dogalgazli-satilik-daire-14383565/,1.300.000 TL,14383565,20 Aralık 2023,Satılık,90 M2,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,11 Aralık 2023,Konut,Daire,95 M2,4,4,Kiracı Oturuyor,Hayır,Genel Fiyat,Yok,10 M2,İkinci El,2,Var,Yatırıma Uygun,Kat İrtifakı,Yok,2,Hayır,Betonarme,0 TL,Açık Balkon,7000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/pek-emlaktan-firsat-urunu-satilik-dubleks-yazlik-kislik-14356992/,4.200.000 TL,14356992,07 Aralık 2023,Satılık,197 M2,3+1,Villa Tipi,Merkezi Doğalgaz,Krediye Uygun Değil,2,06 Aralık 2023,Konut,Yazlık,200 M2,16-20,2,Boş,Evet,Genel Fiyat,Var,10 M2,İkinci El,2,Var,Bilinmiyor,Kat İrtifakı,Var,2,Evet,Betonarme,1 TL,Açık Balkon,7000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/manisa-yunusemre-yeni-mahallede-satilik-ultra-luks-satilik-51-14313391/,3.000.000 TL,14313391,24 Aralık 2023,Satılık,180 M2,5+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,28 Kasım 2023,Konut,Daire,200 M2,0 (Yeni),3,Boş,Hayır,Genel Fiyat,Var,10 M2,İkinci El,2,Var,Yatırıma Uygun,Kat İrtifakı,Yok,2,Evet,Betonarme,1 TL,Açık Balkon,20000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/eses-den-sifir-satilik-daireler-14218734/,1.750.000 TL,14218734,18 Aralık 2023,Satılık,89 M2,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,06 Kasım 2023,Konut,Daire,98 M2,0 (Yeni),4,Boş,Hayır,Genel Fiyat,Var,10 M2,İkinci El,2,Var,Bilinmiyor,Kat İrtifakı,Var,2,Evet,Betonarme,1 TL,Açık Balkon,7000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/soz-yatirim-garimenkulden-ataturk-mah-21-80-mt-satilik-daire-14161467/,2.450.000 TL,14161467,18 Aralık 2023,Satılık,85 M2,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,25 Ekim 2023,Konut,Daire,100 M2,0 (Yeni),3,Boş,Hayır,Genel Fiyat,Var,10 M2,Sıfır,1,Var,Yatırıma Uygun,Kat Mülkiyeti,Yok,1,Evet,Betonarme,80 TL,Açık Balkon,10000 TL,40 M2,Boş,Var,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/akhisar-efem-gayrimenkulden-hurriyette-cuma-pazarina-yakin-31-dubleks-daire-14088089/,3.000.000 TL,14088089,13 Aralık 2023,Satılık,160 M2,3+1,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun,2,12 Ekim 2023,Konut,Daire,170 M2,0 (Yeni),3,Boş,Hayır,Genel Fiyat,Var,10 M2,Sıfır,2,Var,Yatırıma Uygun,Kat Mülkiyeti,Var,2,Evet,Betonarme,1 TL,Açık Balkon,7000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/eses-den-satilik-arakat-31-dogalgazli-14014897/,1.720.000 TL,14014897,14 Aralık 2023,Satılık,118 M2,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,29 Eylül 2023,Konut,Daire,120 M2,1,6,Kiracı Oturuyor,Hayır,Genel Fiyat,Var,10 M2,İkinci El,2,Var,Bilinmiyor,Kat İrtifakı,Var,2,Evet,Betonarme,1 TL,Açık Balkon,7000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/han-gayrimenkulden-guplucede-satilik-daire-13964202/,1.500.000 TL,13964202,08 Kasım 2023,Satılık,88 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,20 Eylül 2023,Konut,Daire,100 M2,4,3,Boş,Hayır,Genel Fiyat,Var,10 M2,İkinci El,2,Var,Yatırıma Uygun,Kat İrtifakı,Yok,2,Evet,Betonarme,1 TL,Açık Balkon,8000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
https://www.emlakjet.com//ilan/temizel-emlak-tan-akhisar-ragipbey-mh-ara-kat-satilik-daire-125-m2-13672405/,1.220.000 TL,13672405,09 Aralık 2023,Satılık,115 M2,3+1,2.Kat,Kombi Doğalgaz,Bilinmiyor,1,02 Ağustos 2023,Konut,Daire,128 M2,21 Ve Üzeri,3,Boş,Hayır,Genel Fiyat,Var,10 M2,İkinci El,2,Var,Yatırıma Uygun,Kat İrtifakı,Yok,2,Evet,Betonarme,1 TL,Açık Balkon,7000 TL,40 M2,Boş,Yok,18 M2,10 M2,0,1384,19
