fiyat,net_metrekare,oda_sayısı,dairenin_katı,ısıtma,banyo_sayısı,tipi,bina_yaşı,site_içerisinde,yapı_durumu,takas,wc_sayısı,yapı_tipi,aidat,eşya_durumu
1200000.0,100.0,2,2,1,1,1,2,1,1,1,2,0,1,0
3300000.0,170.0,4,2,3,2,1,0,1,1,1,2,0,1,0
1320000.0,55.0,1,2,1,1,1,0,1,0,0,1,0,1,0
1850000.0,90.0,2,2,1,1,1,0,1,0,0,1,0,1,0
1575000.0,60.0,1,2,1,1,1,0,1,1,1,2,0,1,0
2350000.0,140.0,3,2,0,1,1,1,0,1,1,2,0,1,0
2050000.0,145.0,3,2,1,1,1,1,1,1,0,2,0,1,0
2550000.0,125.0,3,2,1,2,1,0,1,0,1,2,0,1,0
1825000.0,135.0,3,2,3,0,1,2,1,1,1,2,0,1,0
1300000.0,90.0,2,2,1,1,1,0,1,1,1,2,0,0,0
4200000.0,197.0,3,4,1,2,6,1,0,1,0,2,0,1,0
3000000.0,180.0,4,2,1,2,1,0,1,1,1,2,0,1,0
1750000.0,89.0,2,2,1,1,1,0,1,1,0,2,0,1,0
2450000.0,85.0,2,2,1,1,1,0,1,0,1,1,0,1,0
3000000.0,160.0,3,2,1,2,1,0,1,0,0,2,0,1,0
1720000.0,118.0,3,2,1,1,1,0,1,1,0,2,0,1,0
1500000.0,88.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1220000.0,115.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1350000.0,140.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1800000.0,120.0,3,2,1,1,1,0,1,0,1,2,0,1,0
1750000.0,85.0,2,2,1,1,1,2,1,1,1,1,0,1,0
3300000.0,220.0,4,2,1,2,1,0,1,0,0,2,0,1,0
295000.0,130.0,2,2,3,1,3,1,1,1,0,2,0,1,0
1745000.0,85.0,2,2,1,1,1,0,1,1,0,2,0,1,0
1675000.0,80.0,2,2,1,1,1,0,1,1,0,2,0,1,0
1650000.0,80.0,2,2,1,1,1,0,1,1,0,2,0,1,0
1375000.0,55.0,1,2,1,1,1,0,1,1,0,2,0,1,1
1830000.0,125.0,3,2,1,1,1,0,1,1,1,2,0,1,0
3200000.0,135.0,3,2,1,1,1,1,1,1,0,2,0,1,0
1050000.0,115.0,4,2,1,1,1,1,1,1,1,2,0,1,0
3750000.0,130.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1500000.0,100.0,2,2,3,1,4,1,1,1,1,2,0,1,0
1990000.0,100.0,2,2,1,1,1,0,1,1,1,2,0,1,0
2550000.0,120.0,3,2,1,1,1,1,1,1,0,2,0,1,0
2450000.0,130.0,3,1,1,1,1,2,1,1,1,2,0,1,0
1250000.0,52.0,1,2,1,1,1,2,1,1,1,2,0,1,0
1675000.0,85.0,2,2,1,1,1,2,1,1,0,1,0,1,0
1600000.0,95.0,2,2,1,1,1,1,1,1,0,1,0,1,0
2300000.0,130.0,3,2,0,1,1,2,1,1,1,2,0,1,0
4500000.0,300.0,4,2,1,2,1,0,1,0,1,2,0,0,0
5850000.0,155.0,3,2,1,2,1,2,0,1,1,2,0,1,0
2275000.0,140.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1900000.0,110.0,3,2,1,1,1,2,1,1,1,2,0,1,0
1250000.0,85.0,2,2,1,1,1,1,1,1,1,2,0,1,0
1150000.0,80.0,2,2,3,1,1,1,1,1,1,2,0,1,0
2750000.0,130.0,3,2,1,2,1,0,1,1,1,2,0,1,0
2200000.0,110.0,3,2,1,1,1,1,1,1,1,2,0,1,0
3500000.0,120.0,3,2,1,1,1,0,1,1,1,2,0,0,0
840000.0,95.0,2,2,3,1,1,1,1,1,1,2,0,1,0
1449000.0,120.0,3,2,0,1,1,1,1,1,0,2,0,1,0
